matricula,nombre,paterno,materno,carrera,servicio
05302669,ROMAN JOSE,HIGON,GABALDON,Licenciatura en Administración,29 DE ABRIL DE 1998 AL 26 DE OCTUBRE DE 1998
C99308050,JOSE FELICIANO,CASTILLEJOS,RAJOY,Ingeniería en Sistemas Computacionales,7 DE JULIO DE 2010 AL 3 DE ENERO DE 2011
23300430,FRANCISCA SUSANA,ERNESTO,KACZMAREK,Ingeniería en Electrónica,15 DE DICIEMBRE DE 1976 AL 13 DE JUNIO DE 1977
09305278,LIBARDO,ECEIZABARRENA,BARTHA,Ingeniería en Sistemas Computacionales,6 DE ENERO DE 1982 AL 5 DE JULIO DE 1982
87303555,NAEL,INDA,PUJADO,Ingeniería en Sistemas Computacionales,11 DE DICIEMBRE DE 1980 AL 9 DE JUNIO DE 1981
18305659,EULOGIA,EL FILALI,MAGAZ,Ingeniería Industrial,30 DE ENERO DE 2001 AL 29 DE JULIO DE 2001
22304569,MARC ALBERT,RENARD,MUR,Licenciatura en Administración,2 DE FEBRERO DE 1979 AL 1 DE AGOSTO DE 1979
17306739,FERNANDO SEBASTIAN,ANEAS,REHMAN,Licenciatura en Administración,27 DE JUNIO DE 2022 AL 24 DE DICIEMBRE DE 2022
06304802,ERMERINDA,SANTEIRO,CEBOLLERO,Licenciatura en Contaduría,10 DE ABRIL DE 1982 AL 7 DE OCTUBRE DE 1982
C05303091,INOCENCIO MANUEL,APRESA,LECHOSA,Ingeniería en Electrónica,26 DE OCTUBRE DE 2003 AL 23 DE ABRIL DE 2004
07301773,NIEVES ROSARIO,BRESCO,LIZANA,Ingeniería en Electrónica,1 DE JULIO DE 1983 AL 28 DE DICIEMBRE DE 1983
C76306117,FELLA,MANGAS,SANTAULARIA,Licenciatura en Contaduría,6 DE ABRIL DE 2023 AL 3 DE OCTUBRE DE 2023
15301612,MARY FLOR,MONCAYO,BACELO,Licenciatura en Contaduría,19 DE OCTUBRE DE 2014 AL 17 DE ABRIL DE 2015
95303065,NAN,DOPORTO,SIBAJA,Licenciatura en Administración,16 DE MARZO DE 1974 AL 12 DE SEPTIEMBRE DE 1974
C01306798,GASTON EDUARDO,EL AMRAOUI,EL KHARRAZ,Ingeniería en Sistemas Computacionales,2 DE NOVIEMBRE DE 2017 AL 1 DE MAYO DE 2018
C99301139,EDWIN ALEJANDRO,GALLASTEGUI,IRULEGUI,Licenciatura en Contaduría,21 DE SEPTIEMBRE DE 2017 AL 20 DE MARZO DE 2018
C12305776,EDUARD ADRIAN,FORTUN,DONAT,Licenciatura en Administración,21 DE DICIEMBRE DE 1996 AL 19 DE JUNIO DE 1997
86307895,MARIA FLORICA,YOUSFI,MLADENOVA,Licenciatura en Contaduría,28 DE ENERO DE 2008 AL 26 DE JULIO DE 2008
11309391,ZHOR,AMRANI,FORMENTO,Ingeniería en Electrónica,5 DE JUNIO DE 2009 AL 2 DE DICIEMBRE DE 2009
18300816,TOVE,MENJIBAR,ROTELA,Ingeniería Industrial,28 DE AGOSTO DE 1993 AL 24 DE FEBRERO DE 1994
C14303137,VICTOR MATEO,PLACER,DE LOS DOLORES,Ingeniería Industrial,8 DE OCTUBRE DE 2018 AL 6 DE ABRIL DE 2019
20301221,RAFAEL LEONARDO,LOPEZ DE HEREDIA,SALADA,Ingeniería en Electrónica,13 DE NOVIEMBRE DE 2003 AL 11 DE MAYO DE 2004
84305203,DOMITILO,PARADA,OLIVAN,Ingeniería en Sistemas Computacionales,23 DE JULIO DE 2015 AL 19 DE ENERO DE 2016
08304126,ANGELO MANUEL,CHIKRI,BELLMUNT,Licenciatura en Contaduría,24 DE MARZO DE 2013 AL 20 DE SEPTIEMBRE DE 2013
C00308240,ORLANDO DAVID,ALTUBE,FRASES,Licenciatura en Contaduría,10 DE ENERO DE 2006 AL 9 DE JULIO DE 2006
C20307540,DIEGO PEDRO,SALDIVAR,MERCEDES,Licenciatura en Administración,18 DE AGOSTO DE 2009 AL 14 DE FEBRERO DE 2010
C23305359,HAMIDO,MONTEMAYOR,OCHOA DE RETANA,Ingeniería en Sistemas Computacionales,3 DE MARZO DE 2000 AL 30 DE AGOSTO DE 2000
C00306753,SORIN MARIAN,GAYOSO,HALCON,Licenciatura en Administración,6 DE NOVIEMBRE DE 1977 AL 5 DE MAYO DE 1978
C97305643,MANUEL CLAUDIO,LLIN,DE LA POZA,Licenciatura en Administración,27 DE MAYO DE 2015 AL 23 DE NOVIEMBRE DE 2015
16301400,MANISH,GRABOLEDA,MARIGO,Licenciatura en Contaduría,5 DE FEBRERO DE 2014 AL 4 DE AGOSTO DE 2014
C10307482,COSTEL ADRIAN,BROCO,SILGO,Licenciatura en Administración,14 DE SEPTIEMBRE DE 2013 AL 13 DE MARZO DE 2014
C24306074,NESTOR ADRIAN,ELEZ,JUGO,Ingeniería en Sistemas Computacionales,3 DE MAYO DE 2018 AL 30 DE OCTUBRE DE 2018
C89301851,FERNANDO RAUL,ALTUNA,LEVANO,Ingeniería en Sistemas Computacionales,15 DE ENERO DE 2014 AL 14 DE JULIO DE 2014
78306394,EVELYN ESTEFANIA,MERELLO,DOBAÑO,Ingeniería Industrial,27 DE ENERO DE 2012 AL 25 DE JULIO DE 2012
08309419,LAHCENE,ALTUZARRA,GRACIANO,Ingeniería en Electrónica,16 DE DICIEMBRE DE 2003 AL 13 DE JUNIO DE 2004
10307046,NOARA,BARREU,SOMOVILLA,Licenciatura en Administración,6 DE SEPTIEMBRE DE 1974 AL 5 DE MARZO DE 1975
C15302569,ANIBAL JESUS,COLILLES,FELGUERA,Ingeniería Industrial,23 DE ABRIL DE 1995 AL 20 DE OCTUBRE DE 1995
C95309763,NATELA,LARRIPA,CADORNIGA,Licenciatura en Administración,29 DE ENERO DE 1976 AL 27 DE JULIO DE 1976
21307163,MARITZA ALEXANDRA,AVIVAR,CANDELERA,Licenciatura en Contaduría,4 DE MAYO DE 1975 AL 31 DE OCTUBRE DE 1975
C07307952,BATHIE,IRURETAGOIENA,SINTAS,Licenciatura en Administración,18 DE ABRIL DE 1987 AL 15 DE OCTUBRE DE 1987
C04306743,SHALVA,CONDES,CEAUSU,Ingeniería Industrial,29 DE SEPTIEMBRE DE 2017 AL 28 DE MARZO DE 2018
C95303180,NURIA MAR,LOARCE,ESPINOSA,Ingeniería en Electrónica,26 DE NOVIEMBRE DE 2000 AL 25 DE MAYO DE 2001
95306576,DIEGO AGUSTIN,OLIYNYK,SELLART,Ingeniería en Electrónica,20 DE SEPTIEMBRE DE 1993 AL 19 DE MARZO DE 1994
C75300999,MIRTA SUSANA,CHILLON,RASCON,Ingeniería Industrial,7 DE SEPTIEMBRE DE 2018 AL 6 DE MARZO DE 2019
C09307025,OTMANE,ODRIA,FONTSECA,Ingeniería en Sistemas Computacionales,2 DE ENERO DE 2007 AL 1 DE JULIO DE 2007
93305525,ROSA NURIA,LOSTE,LAMBEA,Ingeniería Industrial,31 DE DICIEMBRE DE 1989 AL 29 DE JUNIO DE 1990
C00307657,SARAH VICTORIA,SEIJIDO,ADANERO,Ingeniería en Sistemas Computacionales,3 DE SEPTIEMBRE DE 2015 AL 1 DE MARZO DE 2016
C04307009,YURY,ARCENTALES,ACEBRON,Licenciatura en Contaduría,20 DE ABRIL DE 2018 AL 17 DE OCTUBRE DE 2018
